,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Gr Liv Area,Full Bath,Bedroom AbvGr,Fireplaces,Garage Cars,OQ2,GLA2,OQ_x_YB,OQ_/_LA,Neighborhood,House Style,Year Built_Dev_House Style,Overall Qual_Dev_Neighborhood
20,11751,6,6,1977,1977,1844,2,3,1,2.0,36,3400336,11862,0.0005105948429920858,NWAmes,1Story,0.07517379136385875,-0.4913404353828341
21,10625,7,6,1974,1974,1173,2,3,2,2.0,49,1375929,13818,0.0006588235294117648,NWAmes,SFoyer,-0.25178583862954707,0.939006165398307
22,7500,7,5,2000,2000,1674,2,3,0,2.0,49,2802276,14000,0.0009333333333333333,Somerst,2Story,0.6380036348443596,-0.45982502071943
23,11241,6,7,1970,1970,1004,1,2,1,2.0,36,1008016,11820,0.0005337603416066186,NAmes,1Story,-0.1988587485832092,0.8575032199172544
24,12537,5,6,1971,2008,1078,1,3,1,2.0,25,1162084,9855,0.0003988194942968812,NAmes,1Story,-0.15971124287648522,-0.43020500524662325
25,8450,5,6,1968,1968,1056,1,3,1,1.0,25,1115136,9840,0.000591715976331361,NAmes,1Story,-0.2771537599966572,-0.43020500524662325
26,8400,4,5,1970,1970,882,1,2,0,2.0,16,777924,7880,0.0004761904761904762,NAmes,1Story,-0.1988587485832092,-1.717913230410501
27,10500,4,5,1971,1971,864,1,3,1,0.0,16,746496,7884,0.00038095238095238096,NAmes,1Story,-0.15971124287648522,-1.717913230410501
28,5858,7,5,1999,1999,1337,2,2,1,2.0,49,1787569,13993,0.001194947080914988,NAmes,1Story,0.9364189169117866,2.145211445081132
29,1680,6,5,1971,1971,987,1,2,0,1.0,36,974169,11826,0.0035714285714285713,BrDale,2Story,-0.2590243500760111,0.5928871321888775
30,1680,5,5,1971,1971,1092,1,3,0,1.0,25,1192464,9855,0.002976190476190476,BrDale,2Story,-0.2590243500760111,-1.6304396135194137
31,1680,6,5,1971,1971,1092,1,3,0,1.0,36,1192464,11826,0.0035714285714285713,BrDale,2Story,-0.2590243500760111,0.5928871321888775
32,4043,6,5,1977,1977,1069,2,2,1,2.0,36,1142761,11862,0.0014840465001236705,NPkVill,1Story,0.07517379136385875,-0.5810300404698447
33,2280,6,6,1975,1975,1456,2,3,1,2.0,36,2119936,11850,0.002631578947368421,NPkVill,2Story,-0.13529635215595995,-0.5810300404698447
34,2280,7,6,1975,1975,836,1,2,0,1.0,49,698896,13825,0.0030701754385964912,NPkVill,1Story,-0.003121220049589242,1.6462517813312245
35,2280,6,5,1978,1978,1456,2,3,1,2.0,36,2119936,11868,0.002631578947368421,NPkVill,2Story,-0.0425003537159216,-0.5810300404698447
36,12858,9,5,2009,2010,2334,2,3,1,3.0,81,5447556,18081,0.0006999533364442371,NridgHt,2Story,0.9163916301644747,0.7500852418028562
37,11478,8,5,2007,2008,1704,2,3,1,3.0,64,2903616,16056,0.0006969855375500958,NridgHt,1Story,1.2495989625655786,-0.28753267602442806
38,10159,9,5,2009,2010,1940,2,3,1,3.0,81,3763600,18081,0.0008859139679102273,NridgHt,1Story,1.3278939739790265,0.7500852418028562
39,12883,8,5,2009,2010,1544,2,3,0,3.0,64,2383936,16072,0.000620973375766514,NridgHt,1Story,1.3278939739790265,-0.28753267602442806
40,12182,7,5,2005,2005,1541,2,3,1,2.0,49,2374681,14035,0.0005746182892792644,NridgHt,1Story,1.1713039511521306,-1.3251505938517123
41,11520,9,5,2005,2005,1698,2,3,1,3.0,81,2883204,18045,0.00078125,NridgHt,1Story,1.1713039511521306,0.7500852418028562
42,14122,8,5,2005,2006,1822,2,3,1,3.0,64,3319684,16040,0.000566491998300524,NridgHt,1Story,1.1713039511521306,-0.28753267602442806
43,10171,7,5,2004,2004,1535,2,3,0,2.0,49,2356225,14028,0.0006882312456985547,NridgHt,1Story,1.1321564454454065,-1.3251505938517123
44,12919,9,5,2009,2010,2364,2,2,2,3.0,81,5588496,18081,0.0006966483473953093,NridgHt,1Story,1.3278939739790265,0.7500852418028562
45,6371,7,5,2009,2010,1358,2,2,1,2.0,49,1844164,14063,0.001098728614032334,NridgHt,1Story,1.3278939739790265,-1.3251505938517123
46,14300,9,5,2003,2004,2696,2,3,2,3.0,81,7268416,18027,0.0006293706293706294,NridgHt,1Story,1.0930089397386826,0.7500852418028562
47,13650,8,5,2002,2002,2250,2,3,1,3.0,64,5062500,16016,0.0005860805860805861,NridgHt,2Story,0.6998676338043852,-0.28753267602442806
48,7658,9,5,2005,2005,1752,2,2,1,2.0,81,3069504,18045,0.0011752415774353617,NridgHt,1Story,1.1713039511521306,0.7500852418028562
49,7132,8,5,2006,2006,1370,2,2,1,2.0,64,1876900,16048,0.0011217049915872126,NridgHt,1Story,1.2104514568588547,-0.28753267602442806
50,2628,7,5,2003,2003,1626,2,2,0,2.0,49,2643876,14021,0.002663622526636225,NridgHt,2Story,0.730799633284398,-1.3251505938517123
51,18494,6,5,2005,2005,1324,2,3,0,2.0,36,1752976,12030,0.0003244295447172056,Gilbert,1Story,1.1713039511521306,-0.714671094918964
52,3203,7,5,2006,2006,1145,2,2,0,2.0,49,1311025,14042,0.0021854511395566654,Blmngtn,1Story,1.2104514568588547,-0.4008918628686376
53,3182,8,5,2004,2005,1269,2,2,1,2.0,64,1610361,16032,0.00251414204902577,Blmngtn,1Story,1.1321564454454065,2.405351177211818
54,13300,7,5,2004,2004,1374,2,3,1,2.0,49,1887876,14028,0.0005263157894736842,Gilbert,SLvl,1.8137448896747923,0.6726316187472591
55,7851,6,5,2002,2002,1960,2,4,2,2.0,36,3841600,12012,0.0007642338555598013,Gilbert,2Story,0.6998676338043852,-0.714671094918964
56,8577,7,5,2004,2004,1733,2,3,1,2.0,49,3003289,14028,0.0008161361781508686,Gilbert,2Story,0.7617316327644108,0.6726316187472591
57,7750,7,5,2000,2000,1430,2,3,1,2.0,49,2044900,14000,0.0009032258064516129,Gilbert,SLvl,1.5520094377262317,0.6726316187472591
58,9505,7,5,2001,2001,2035,2,3,1,2.0,49,4141225,14007,0.0007364544976328248,Gilbert,2Story,0.6689356343243724,0.6726316187472591
59,14774,9,5,1999,1999,2599,2,4,1,3.0,81,6754801,17991,0.0006091782861784216,NoRidge,2Story,0.6070716353643468,1.6027806395365616
60,17433,8,5,1998,1998,2475,2,4,1,3.0,64,6125625,15984,0.00045889978775884814,NoRidge,2Story,0.5761396358843341,0.18493622763883363
61,10593,7,5,1996,1996,1720,2,3,1,2.0,49,2958400,13972,0.0006608137449258944,NoRidge,1Story,0.8189763997916146,-1.2329081842588943
62,12256,8,5,1994,1995,2622,2,3,2,2.0,64,6874884,15952,0.0006527415143603133,NoRidge,2Story,0.45241163796428296,0.18493622763883363
63,11764,8,7,1999,2007,2270,2,4,1,3.0,64,5152900,15992,0.0006800408024481469,NoRidge,2Story,0.6070716353643468,0.18493622763883363
64,16770,7,5,1998,1998,1839,2,4,0,2.0,49,3381921,13986,0.00041741204531902206,NoRidge,2Story,0.5761396358843341,-1.2329081842588943
65,14720,8,5,1995,1996,3238,2,4,1,3.0,64,10484644,15960,0.0005434782608695652,NoRidge,1.5Fin,2.932954336267539,0.18493622763883363
66,8987,8,5,2005,2006,1595,2,2,1,3.0,64,2544025,16040,0.0008901746967842439,Somerst,1Story,1.1713039511521306,0.6865880446358602
67,9215,7,5,2009,2010,1218,2,2,0,2.0,49,1483524,14063,0.000759631036353771,Somerst,1Story,1.3278939739790265,-0.45982502071943
68,8640,7,5,2009,2009,1547,2,3,0,2.0,49,2393209,14063,0.0008101851851851852,Somerst,2Story,0.9163916301644747,-0.45982502071943
69,9000,8,5,2008,2008,1566,2,3,0,2.0,64,2452356,16064,0.0008888888888888889,Somerst,1Story,1.2887464682723027,0.6865880446358602
70,12552,7,5,2004,2005,1947,2,3,1,2.0,49,3790809,14028,0.0005576800509878904,Somerst,2Story,0.7617316327644108,-0.45982502071943
71,10440,6,5,2005,2005,1468,2,2,1,2.0,36,2155024,12030,0.0005747126436781609,Somerst,1Story,1.1713039511521306,-1.6062380860747203
72,10142,7,5,2004,2004,2084,2,4,0,2.0,49,4343056,14028,0.0006901991717609938,SawyerW,2Story,0.7617316327644108,0.7887041592794701
73,11920,7,5,2004,2004,1659,2,3,0,2.0,49,2752281,14028,0.000587248322147651,SawyerW,2Story,0.7617316327644108,0.7887041592794701
74,8880,7,5,1994,2002,2110,2,3,2,2.0,49,4452100,13958,0.0007882882882882883,SawyerW,2Story,0.45241163796428296,0.7887041592794701
75,8012,6,5,1980,1980,923,2,2,1,1.0,36,851929,11880,0.0007488766849725411,SawyerW,1Story,0.19261630848403072,-0.39910330951491313
76,11218,6,5,1992,1992,1845,2,3,1,2.0,36,3404025,11952,0.0005348546978070957,SawyerW,2Story,0.3905476390042574,-0.39910330951491313
77,7892,6,5,1979,1979,918,2,2,1,1.0,36,842724,11874,0.0007602635580334517,SawyerW,1Story,0.15346880277730673,-0.39910330951491313
78,7175,6,5,1984,1984,752,1,2,0,1.0,36,565504,11904,0.0008362369337979094,SawyerW,1Story,0.3492063313109267,-0.39910330951491313
79,9453,7,7,1993,2003,1744,2,3,0,2.0,49,3041536,13951,0.0007405056595789696,SawyerW,2Story,0.42147963848427017,0.7887041592794701
80,9672,6,5,1984,1985,1097,2,3,0,2.0,36,1203409,11904,0.0006203473945409429,SawyerW,1Story,0.3492063313109267,-0.39910330951491313
81,8400,6,6,1980,1981,1564,2,3,1,2.0,36,2446096,11880,0.0007142857142857143,SawyerW,2Story,0.01936364524410397,-0.39910330951491313
82,9800,5,5,1920,1950,1012,1,2,0,1.0,25,1024144,9600,0.0005102040816326531,SawyerW,1Story,-2.156234033919409,-1.5869107783092964
83,8930,6,5,1978,1978,1902,2,4,0,2.0,36,3617604,11868,0.0006718924972004479,Sawyer,1.5Fin,2.0966683340776924,1.5659231907496547
84,11782,5,7,1961,1995,1155,1,3,0,2.0,25,1334025,9805,0.00042437616703445936,Sawyer,SFoyer,-1.2255382396377419,-0.11105838232267036
85,8450,5,8,1965,2009,894,1,3,1,1.0,25,799236,9825,0.000591715976331361,Sawyer,1Story,-0.3945962771168292,-0.11105838232267036
86,9819,5,5,1967,1967,900,1,3,0,1.0,25,810000,9835,0.0005092168245238823,Sawyer,1Story,-0.3163012657033812,-0.11105838232267036
87,7500,5,5,1963,1963,1040,1,3,0,1.0,25,1081600,9815,0.0006666666666666666,Sawyer,1Story,-0.4728912885302772,-0.11105838232267036
88,6897,5,8,1962,2010,1040,1,3,0,1.0,25,1081600,9810,0.0007249528780629259,Sawyer,1Story,-0.5120387942370012,-0.11105838232267036
89,15410,6,6,1974,2002,1494,2,3,2,2.0,36,2232036,11844,0.00038935756002595715,Sawyer,1Story,-0.042268725756313234,1.5659231907496547
90,10186,7,5,1992,1992,1923,2,3,1,2.0,49,3697929,13944,0.0006872177498527391,NoRidge,2Story,0.3905476390042574,-1.2329081842588943
91,13143,8,5,1993,1993,2349,2,4,1,3.0,64,5517801,15944,0.0006086890359887393,NoRidge,2Story,0.42147963848427017,0.18493622763883363
92,11134,8,5,1992,1993,2225,2,4,1,3.0,64,4950625,15936,0.0007185198491108317,NoRidge,2Story,0.3905476390042574,0.18493622763883363
93,4835,7,5,2004,2005,1488,2,2,1,2.0,49,2214144,14028,0.0014477766287487074,Somerst,1Story,1.1321564454454065,-0.45982502071943
94,3515,7,5,2004,2004,1680,2,2,0,2.0,49,2822400,14028,0.001991465149359886,Somerst,2Story,0.7617316327644108,-0.45982502071943
95,3215,7,5,2004,2004,1200,2,2,0,2.0,49,1440000,14028,0.002177293934681182,Somerst,2Story,0.7617316327644108,-0.45982502071943
96,3182,7,5,2004,2005,1200,2,2,0,2.0,49,1440000,14028,0.0021998742928975488,Somerst,2Story,0.7617316327644108,-0.45982502071943
97,2544,7,5,2004,2005,1200,2,2,0,2.0,49,1440000,14028,0.002751572327044025,Somerst,2Story,0.7617316327644108,-0.45982502071943
98,2544,6,5,2005,2005,1236,2,2,0,2.0,36,1527696,12030,0.0023584905660377358,Somerst,2Story,0.7926636322444236,-1.6062380860747203
99,4403,7,5,2009,2009,1478,2,2,1,2.0,49,2184484,14063,0.001589825119236884,Somerst,1Story,1.3278939739790265,-0.45982502071943
100,2117,6,5,2000,2000,1573,2,3,0,2.0,36,2474329,12000,0.002834199338686821,Somerst,2Story,0.6380036348443596,-1.6062380860747203
101,2980,6,5,2000,2000,1512,2,2,0,2.0,36,2286144,12000,0.0020134228187919465,Somerst,2Story,0.6380036348443596,-1.6062380860747203
102,2572,7,5,1999,1999,1416,2,3,0,2.0,49,2005056,13993,0.0027216174183514776,Somerst,2Story,0.6070716353643468,-0.45982502071943
103,2403,7,5,2003,2003,1080,2,2,0,2.0,49,1166400,14021,0.002913025384935497,Somerst,2Story,0.730799633284398,-0.45982502071943
104,12853,8,5,2010,2010,1418,1,1,1,3.0,64,2010724,16080,0.0006224227806737727,Somerst,1Story,1.3670414796857506,0.6865880446358602
105,7379,8,5,2000,2000,1848,2,3,1,2.0,64,3415104,16000,0.0010841577449518904,Somerst,2Story,0.6380036348443596,0.6865880446358602
106,4420,8,5,1980,1980,788,1,1,1,2.0,64,620944,15840,0.0018099547511312218,Other,1Story,0.19261630848403072,0.5393598899705933
107,3880,8,6,1978,1978,1226,1,1,1,2.0,64,1503076,15824,0.002061855670103093,Other,1Story,0.11432129707058274,0.5393598899705933
108,13517,6,8,1976,2005,1479,2,3,0,2.0,36,2187441,11856,0.00044388547754679295,Sawyer,2Story,-0.10436435267594717,1.5659231907496547
109,8000,7,5,2002,2002,1492,2,3,1,2.0,49,2226064,14014,0.000875,Somerst,1Story,1.0538614340319585,-0.45982502071943
110,10456,6,6,1967,1967,1829,2,4,0,2.0,36,3345241,11802,0.0005738332058148432,NWAmes,1Story,-0.3163012657033812,-0.4913404353828341
111,10791,6,5,1993,1993,2495,2,4,1,2.0,36,6225025,11958,0.0005560189046427579,NWAmes,2Story,0.42147963848427017,-0.4913404353828341
112,10603,6,7,1977,2001,1610,2,3,2,2.0,36,2592100,11862,0.0005658775818164671,NWAmes,1Story,0.07517379136385875,-0.4913404353828341
113,18837,6,5,1978,1978,1891,3,3,1,2.0,36,3575881,11868,0.00031852205765249244,NWAmes,1.5Fin,2.0966683340776924,-0.4913404353828341
114,10421,7,5,1988,1988,1714,2,3,1,2.0,49,2937796,13916,0.000671720564245274,NWAmes,2Story,0.26681964108420625,0.939006165398307
115,9360,6,7,1972,2006,1381,1,3,1,2.0,36,1907161,11832,0.000641025641025641,NWAmes,1Story,-0.12056373716976122,-0.4913404353828341
116,9600,6,6,1971,1971,1645,1,4,0,2.0,36,2706025,11826,0.000625,NWAmes,2Story,-0.2590243500760111,-0.4913404353828341
117,9600,5,5,1966,1966,1232,1,3,0,2.0,25,1517824,9830,0.0005208333333333333,NAmes,1Story,-0.35544877141010517,-0.43020500524662325
118,9790,6,5,1963,1963,1328,1,3,2,2.0,36,1763584,11778,0.0006128702757916241,NWAmes,1Story,-0.4728912885302772,-0.4913404353828341
119,9320,4,5,1959,1959,1225,1,3,0,0.0,16,1500625,7836,0.00042918454935622315,NAmes,1Story,-0.6294813113571731,-1.717913230410501
120,9900,5,5,1966,1966,1209,1,3,0,2.0,25,1461681,9830,0.000505050505050505,NAmes,1Story,-0.35544877141010517,-0.43020500524662325
121,9680,5,6,1967,1967,1510,2,3,0,2.0,25,2280100,9835,0.0005165289256198347,NAmes,1Story,-0.3163012657033812,-0.43020500524662325
122,10600,6,5,1964,1964,1775,2,3,0,2.0,36,3150625,11784,0.0005660377358490566,NAmes,SLvl,-0.8036096298108155,0.8575032199172544
123,14112,5,7,1964,1964,1152,1,3,1,2.0,25,1327104,9820,0.00035430839002267573,NAmes,SLvl,-0.8036096298108155,-0.43020500524662325
124,8800,6,7,1963,1963,1054,1,3,0,2.0,36,1110916,11778,0.0006818181818181819,NAmes,SFoyer,-1.0757301779441735,0.8575032199172544
125,13260,5,6,1962,2001,1728,2,6,0,0.0,25,2985984,9810,0.0003770739064856712,NAmes,1Story,-0.5120387942370012,-0.43020500524662325
126,9717,5,6,1950,1996,1078,1,2,0,1.0,25,1162084,9750,0.0005145621076463929,NAmes,1Story,-0.9818088627176891,-0.43020500524662325
127,9724,5,7,1952,2002,2461,2,3,2,2.0,25,6056521,9760,0.0005141916906622789,NAmes,1.5Fin,0.817642683669692,-0.43020500524662325
128,17360,6,6,1949,1950,1556,2,3,1,2.0,36,2421136,11694,0.0003456221198156682,NAmes,1.5Fin,0.6700628009303072,0.8575032199172544
129,7207,5,7,1958,2008,858,1,2,0,0.0,25,736164,9790,0.0006937699458859442,BrkSide,1Story,-0.6686288170638971,-0.11298979376415953
130,5350,3,2,1940,1966,1306,1,3,0,0.0,9,1705636,5820,0.0005607476635514019,BrkSide,1Story,-1.3732839197849291,-1.9903586747686584
131,9920,5,5,1954,1954,1063,1,3,0,1.0,25,1129969,9770,0.0005040322580645161,NAmes,1Story,-0.8252188398907931,-0.43020500524662325
132,9600,6,6,1955,1972,1520,1,3,2,1.0,36,2310400,11730,0.000625,NAmes,SLvl,-1.3925143966950773,0.8575032199172544
133,7800,5,6,1954,1954,1268,1,2,1,1.0,25,1607824,9770,0.000641025641025641,NAmes,1Story,-0.8252188398907931,-0.43020500524662325
134,11380,6,8,1966,2008,1128,1,2,1,1.0,36,1272384,11796,0.0005272407732864675,NAmes,SFoyer,-0.8510180854038208,0.8575032199172544
135,11600,5,5,1960,1960,2274,2,5,0,2.0,25,5171076,9800,0.0004310344827586207,NAmes,2Story,-0.5992763443561517,-0.43020500524662325
136,19900,7,5,1970,1989,2207,2,3,1,2.0,49,4870849,13790,0.00035175879396984926,NAmes,1Story,-0.1988587485832092,2.145211445081132
137,16492,6,6,1966,2002,1888,2,2,1,2.0,36,3564544,11796,0.0003638127577007034,NAmes,1Story,-0.35544877141010517,0.8575032199172544
138,8267,5,5,1958,1958,1604,2,4,0,2.0,25,2572816,9790,0.000604814322003145,NAmes,1Story,-0.6686288170638971,-0.43020500524662325
139,8197,7,5,2003,2009,1480,2,3,0,2.0,49,2190400,14021,0.0008539709649871904,NAmes,1Story,1.0930089397386826,2.145211445081132
140,8050,5,5,1959,1959,1143,1,3,0,1.0,25,1306449,9795,0.0006211180124223603,NAmes,1Story,-0.6294813113571731,-0.43020500524662325
141,10552,5,5,1959,1959,1700,1,4,1,2.0,25,2890000,9795,0.00047384382107657316,NAmes,1Story,-0.6294813113571731,-0.43020500524662325
142,8400,5,6,1957,1957,1314,1,3,0,1.0,25,1726596,9785,0.0005952380952380953,NAmes,1Story,-0.7077763227706212,-0.43020500524662325
143,8760,6,6,1959,1959,1194,1,3,0,1.0,36,1425636,11754,0.0006849315068493151,NAmes,1Story,-0.6294813113571731,0.8575032199172544
144,12160,5,5,1959,1959,1188,1,3,0,2.0,25,1411344,9795,0.00041118421052631577,NAmes,1Story,-0.6294813113571731,-0.43020500524662325
145,9300,5,5,1960,1960,1264,1,3,2,2.0,25,1597696,9800,0.0005376344086021505,NAmes,1Story,-0.5903338056504491,-0.43020500524662325
146,10725,5,5,1959,1959,1206,1,3,0,1.0,25,1454436,9795,0.0004662004662004662,NAmes,1Story,-0.6294813113571731,-0.43020500524662325
147,10032,6,5,1959,1959,1580,1,3,2,2.0,36,2496400,11754,0.0005980861244019139,NAmes,1Story,-0.6294813113571731,0.8575032199172544
148,8382,4,5,1956,1956,1337,1,3,0,1.0,16,1787569,7824,0.0004772130756382725,NAmes,1.5Fin,1.0144158606555382,-1.717913230410501
149,10950,5,7,1952,1952,1064,1,2,0,1.0,25,1132096,9760,0.00045662100456621003,NAmes,1Story,-0.9035138513042411,-0.43020500524662325
150,10895,5,6,1955,1955,972,1,3,0,1.0,25,944784,9775,0.0004589261128958238,NAmes,1Story,-0.7860713341840692,-0.43020500524662325
151,13587,5,5,1958,1958,988,1,2,0,1.0,25,976144,9790,0.0003679988224037683,NAmes,1Story,-0.6686288170638971,-0.43020500524662325
152,7922,5,7,1953,2007,1057,1,3,0,1.0,25,1117249,9765,0.0006311537490532694,NAmes,1Story,-0.8643663455975171,-0.43020500524662325
153,7898,4,7,1920,1994,985,1,2,0,2.0,16,970225,7680,0.0005064573309698658,NAmes,1Story,-2.156234033919409,-1.717913230410501
154,7200,5,7,1955,2007,827,1,2,1,1.0,25,683929,9775,0.0006944444444444445,NAmes,1Story,-0.7860713341840692,-0.43020500524662325
155,10200,5,7,1954,2003,1086,1,3,0,2.0,25,1179396,9770,0.0004901960784313725,NAmes,1Story,-0.8252188398907931,-0.43020500524662325
156,5868,5,7,1956,2000,936,1,2,0,1.0,25,876096,9780,0.0008520790729379687,NAmes,1Story,-0.7469238284773452,-0.43020500524662325
157,17503,6,5,1948,1950,1458,1,3,1,1.0,36,2125764,11688,0.00034279837742101356,NAmes,1.5Fin,0.6208695066838457,0.8575032199172544
158,6979,6,5,1980,1980,1056,0,0,0,2.0,36,1115136,11880,0.0008597220232124946,OldTown,SFoyer,0.19763834645115827,0.6218635066478322
159,9830,5,7,1959,2006,1287,1,3,1,2.0,25,1656369,9795,0.000508646998982706,NAmes,1Story,-0.6294813113571731,-0.43020500524662325
160,11275,7,7,1967,2007,2978,2,5,1,2.0,49,8868484,13769,0.0006208425720620843,NAmes,SLvl,-0.6073080408493949,2.145211445081132
161,8064,6,8,1948,2004,1224,1,3,0,1.0,36,1498176,11688,0.000744047619047619,NAmes,1.5Fin,0.6208695066838457,0.8575032199172544
162,7500,5,7,1959,1994,1246,1,3,0,1.0,25,1552516,9795,0.0006666666666666666,NAmes,1Story,-0.6294813113571731,-0.43020500524662325
163,8520,5,4,1952,1952,1385,2,4,0,2.0,25,1918225,9760,0.0005868544600938967,NAmes,1.5Fin,0.817642683669692,-0.43020500524662325
164,7200,5,7,1951,2000,900,1,3,0,2.0,25,810000,9755,0.0006944444444444445,NAmes,1Story,-0.9426613570109651,-0.43020500524662325
165,10000,6,6,1962,1962,1116,1,3,0,2.0,36,1245456,11772,0.0006,NAmes,1Story,-0.5120387942370012,0.8575032199172544
166,7635,5,6,1960,1960,1175,1,3,0,2.0,25,1380625,9800,0.0006548788474132286,NAmes,1Story,-0.5903338056504491,-0.43020500524662325
167,9760,6,7,1963,1984,1395,1,2,1,2.0,36,1946025,11778,0.0006147540983606558,NAmes,1Story,-0.4728912885302772,0.8575032199172544
168,7700,6,5,1966,1966,1839,1,4,1,2.0,36,3381921,11796,0.0007792207792207792,NAmes,2Story,-0.413684347476075,0.8575032199172544
169,4800,4,5,1900,1954,1844,1,3,2,1.0,16,3400336,7600,0.0008333333333333334,OldTown,1.5Fin,-1.7404086171463093,-0.9426141574451342
170,8800,4,7,1910,2004,1140,1,3,0,0.0,16,1299600,7640,0.00045454545454545455,OldTown,1.5Fin,-1.2484756746816936,-0.9426141574451342
171,4485,5,7,1920,1950,936,1,2,1,0.0,25,876096,9600,0.0011148272017837235,OldTown,1Story,-2.156234033919409,-0.16037532539865104
172,8960,5,6,1927,1950,1028,1,2,1,2.0,25,1056784,9635,0.0005580357142857143,OldTown,1Story,-1.882201493972341,-0.16037532539865104
173,5805,5,7,1957,1957,1347,1,3,0,2.0,25,1814409,9785,0.0008613264427217916,OldTown,1Story,-0.7077763227706212,-0.16037532539865104
174,5790,3,6,1915,1950,1605,2,3,0,1.0,9,2576025,5745,0.0005181347150259067,OldTown,2Story,-1.991216320956727,-1.7248529894916174
175,4608,4,6,1945,1950,747,1,2,0,1.0,16,558009,7780,0.0008680555555555555,OldTown,1Story,-1.177546391251309,-0.9426141574451342
176,7200,5,7,1940,1992,804,1,2,2,1.0,25,646416,9700,0.0006944444444444445,OldTown,1Story,-1.3732839197849291,-0.16037532539865104
177,5500,5,7,1929,2001,1316,1,3,0,2.0,25,1731856,9645,0.0009090909090909091,OldTown,1.5Fin,-0.313803083998924,-0.16037532539865104
178,6900,6,7,1938,2000,1251,1,3,0,1.0,36,1565001,11628,0.0008695652173913044,OldTown,1.5Fin,0.12893656421923008,0.6218635066478322
179,11851,5,7,1948,2009,1633,1,3,1,1.0,25,2666689,9740,0.0004219053244451945,OldTown,1.5Fin,0.6208695066838457,-0.16037532539865104
180,8239,5,6,1920,1962,1245,1,3,0,1.0,25,1550025,9600,0.0006068697657482705,OldTown,1.5Fin,-0.756542732217078,-0.16037532539865104
181,9656,2,2,1923,1970,832,1,2,1,2.0,4,692224,3846,0.00020712510356255177,OldTown,1Story,-2.038791516799237,-2.5070918215381006
