,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Gr Liv Area,Full Bath,Bedroom AbvGr,Fireplaces,Garage Cars,SalePrice
78,7175,6,5,1984,1984,752,1,2,0,1.0,125000
79,9453,7,7,1993,2003,1744,2,3,0,2.0,194500
80,9672,6,5,1984,1985,1097,2,3,0,2.0,152000
81,8400,6,6,1980,1981,1564,2,3,1,2.0,171000
82,9800,5,5,1920,1950,1012,1,2,0,1.0,67500
83,8930,6,5,1978,1978,1902,2,4,0,2.0,112000
84,11782,5,7,1961,1995,1155,1,3,0,2.0,148000
85,8450,5,8,1965,2009,894,1,3,1,1.0,138500
86,9819,5,5,1967,1967,900,1,3,0,1.0,122000
87,7500,5,5,1963,1963,1040,1,3,0,1.0,133000
88,6897,5,8,1962,2010,1040,1,3,0,1.0,127000
89,15410,6,6,1974,2002,1494,2,3,2,2.0,169000
90,10186,7,5,1992,1992,1923,2,3,1,2.0,190000
91,13143,8,5,1993,1993,2349,2,4,1,3.0,362500
92,11134,8,5,1992,1993,2225,2,4,1,3.0,285000
93,4835,7,5,2004,2005,1488,2,2,1,2.0,260000
94,3515,7,5,2004,2004,1680,2,2,0,2.0,190000
95,3215,7,5,2004,2004,1200,2,2,0,2.0,155000
96,3182,7,5,2004,2005,1200,2,2,0,2.0,151000
97,2544,7,5,2004,2005,1200,2,2,0,2.0,149500
98,2544,6,5,2005,2005,1236,2,2,0,2.0,152000
99,4403,7,5,2009,2009,1478,2,2,1,2.0,222000
100,2117,6,5,2000,2000,1573,2,3,0,2.0,177500
101,2980,6,5,2000,2000,1512,2,2,0,2.0,177000
102,2572,7,5,1999,1999,1416,2,3,0,2.0,155000
103,2403,7,5,2003,2003,1080,2,2,0,2.0,147110
104,12853,8,5,2010,2010,1418,1,1,1,3.0,267916
105,7379,8,5,2000,2000,1848,2,3,1,2.0,254000
106,4420,8,5,1980,1980,788,1,1,1,2.0,155000
107,3880,8,6,1978,1978,1226,1,1,1,2.0,206000
108,13517,6,8,1976,2005,1479,2,3,0,2.0,130500
109,8000,7,5,2002,2002,1492,2,3,1,2.0,230000
110,10456,6,6,1967,1967,1829,2,4,0,2.0,218500
111,10791,6,5,1993,1993,2495,2,4,1,2.0,243500
112,10603,6,7,1977,2001,1610,2,3,2,2.0,205000
113,18837,6,5,1978,1978,1891,3,3,1,2.0,212500
114,10421,7,5,1988,1988,1714,2,3,1,2.0,196500
115,9360,6,7,1972,2006,1381,1,3,1,2.0,197500
116,9600,6,6,1971,1971,1645,1,4,0,2.0,171000
117,9600,5,5,1966,1966,1232,1,3,0,2.0,142250
118,9790,6,5,1963,1963,1328,1,3,2,2.0,143000
119,9320,4,5,1959,1959,1225,1,3,0,0.0,128950
120,9900,5,5,1966,1966,1209,1,3,0,2.0,159000
121,9680,5,6,1967,1967,1510,2,3,0,2.0,178900
122,10600,6,5,1964,1964,1775,2,3,0,2.0,136300
123,14112,5,7,1964,1964,1152,1,3,1,2.0,180500
124,8800,6,7,1963,1963,1054,1,3,0,2.0,137500
125,13260,5,6,1962,2001,1728,2,6,0,0.0,84900
126,9717,5,6,1950,1996,1078,1,2,0,1.0,142125
127,9724,5,7,1952,2002,2461,2,3,2,2.0,197600
128,17360,6,6,1949,1950,1556,2,3,1,2.0,172500
129,7207,5,7,1958,2008,858,1,2,0,0.0,116500
130,5350,3,2,1940,1966,1306,1,3,0,0.0,76500
131,9920,5,5,1954,1954,1063,1,3,0,1.0,128000
132,9600,6,6,1955,1972,1520,1,3,2,1.0,153000
133,7800,5,6,1954,1954,1268,1,2,1,1.0,132000
134,11380,6,8,1966,2008,1128,1,2,1,1.0,178000
135,11600,5,5,1960,1960,2274,2,5,0,2.0,154300
136,19900,7,5,1970,1989,2207,2,3,1,2.0,180000
137,16492,6,6,1966,2002,1888,2,2,1,2.0,190000
138,8267,5,5,1958,1958,1604,2,4,0,2.0,135000
139,8197,7,5,2003,2009,1480,2,3,0,2.0,214000
140,8050,5,5,1959,1959,1143,1,3,0,1.0,136000
141,10552,5,5,1959,1959,1700,1,4,1,2.0,165500
142,8400,5,6,1957,1957,1314,1,3,0,1.0,145000
143,8760,6,6,1959,1959,1194,1,3,0,1.0,148000
144,12160,5,5,1959,1959,1188,1,3,0,2.0,142000
145,9300,5,5,1960,1960,1264,1,3,2,2.0,167500
146,10725,5,5,1959,1959,1206,1,3,0,1.0,108538
147,10032,6,5,1959,1959,1580,1,3,2,2.0,159500
148,8382,4,5,1956,1956,1337,1,3,0,1.0,108000
149,10950,5,7,1952,1952,1064,1,2,0,1.0,135000
150,10895,5,6,1955,1955,972,1,3,0,1.0,122500
151,13587,5,5,1958,1958,988,1,2,0,1.0,119000
152,7922,5,7,1953,2007,1057,1,3,0,1.0,109000
153,7898,4,7,1920,1994,985,1,2,0,2.0,105000
154,7200,5,7,1955,2007,827,1,2,1,1.0,107500
155,10200,5,7,1954,2003,1086,1,3,0,2.0,144900
156,5868,5,7,1956,2000,936,1,2,0,1.0,129000
157,17503,6,5,1948,1950,1458,1,3,1,1.0,97500
158,6979,6,5,1980,1980,1056,0,0,0,2.0,144000
159,9830,5,7,1959,2006,1287,1,3,1,2.0,162000
160,11275,7,7,1967,2007,2978,2,5,1,2.0,242000
161,8064,6,8,1948,2004,1224,1,3,0,1.0,132000
162,7500,5,7,1959,1994,1246,1,3,0,1.0,154000
163,8520,5,4,1952,1952,1385,2,4,0,2.0,166000
164,7200,5,7,1951,2000,900,1,3,0,2.0,134800
165,10000,6,6,1962,1962,1116,1,3,0,2.0,160000
166,7635,5,6,1960,1960,1175,1,3,0,2.0,148000
167,9760,6,7,1963,1984,1395,1,2,1,2.0,192000
168,7700,6,5,1966,1966,1839,1,4,1,2.0,155000
169,4800,4,5,1900,1954,1844,1,3,2,1.0,80400
170,8800,4,7,1910,2004,1140,1,3,0,0.0,96500
171,4485,5,7,1920,1950,936,1,2,1,0.0,109500
172,8960,5,6,1927,1950,1028,1,2,1,2.0,115000
173,5805,5,7,1957,1957,1347,1,3,0,2.0,143000
174,5790,3,6,1915,1950,1605,2,3,0,1.0,107400
175,4608,4,6,1945,1950,747,1,2,0,1.0,80000
176,7200,5,7,1940,1992,804,1,2,2,1.0,119000
177,5500,5,7,1929,2001,1316,1,3,0,2.0,130000
178,6900,6,7,1938,2000,1251,1,3,0,1.0,119000
179,11851,5,7,1948,2009,1633,1,3,1,1.0,129000
180,8239,5,6,1920,1962,1245,1,3,0,1.0,100000
181,9656,2,2,1923,1970,832,1,2,1,2.0,12789
182,8520,6,8,1928,2003,720,1,2,0,2.0,105900
183,9600,8,9,1900,2003,1566,2,3,0,1.0,150000
184,10800,5,6,1915,1950,1652,2,4,0,1.0,139000
185,9000,8,9,1890,2002,2268,3,3,0,2.0,240000
186,9045,5,3,1910,1950,2256,2,4,0,0.0,76500
187,7407,6,7,1957,1996,1236,1,2,0,2.0,149700
188,7740,4,7,1910,1950,1363,1,3,0,2.0,125500
189,11340,4,6,1885,1950,2290,2,4,0,2.0,122500
190,10560,6,7,1922,1994,1470,1,2,0,2.0,140750
191,5830,5,6,1950,1997,1612,1,3,0,1.0,128500
192,7793,7,7,1922,2005,2068,1,3,1,1.0,209500
193,5000,4,7,1925,1950,765,1,2,0,1.0,87000
194,6000,6,7,1939,1950,1132,1,2,0,1.0,134000
195,6000,6,6,1940,1950,1196,1,3,2,2.0,128000
196,6360,5,6,1942,1950,1453,1,3,2,1.0,132000
197,6000,6,7,1948,1950,1416,1,3,0,1.0,139900
198,6240,5,7,1936,1980,1040,1,2,0,2.0,123900
199,6240,5,5,1930,1950,1536,2,4,1,2.0,138400
200,6120,6,5,1923,1950,1068,1,2,1,1.0,109500
201,10300,7,6,1921,1950,1710,2,3,0,2.0,140000
202,8094,4,5,1915,1950,1962,1,4,1,2.0,149500
203,12900,6,8,1912,2009,1560,1,3,0,0.0,159900
204,3068,6,8,1920,1993,1324,1,3,0,1.0,122000
205,8472,5,5,1963,1963,816,1,2,0,2.0,110000
206,5600,4,5,1930,1950,1092,2,3,0,0.0,55000
207,7630,5,9,1900,1996,1812,2,4,1,2.0,140000
208,24090,7,7,1940,1950,2403,2,4,2,1.0,244400
209,15263,5,5,1959,1959,1675,2,3,2,1.0,173000
210,10632,5,3,1917,1950,1224,1,3,0,1.0,107500
211,9900,5,4,1915,1950,1392,1,3,0,0.0,100000
212,6001,6,5,1940,1950,919,1,3,0,1.0,95000
213,6449,4,1,1907,1950,1884,1,4,0,0.0,93369
214,6048,5,7,1910,1950,1680,2,2,1,2.0,114900
215,6342,5,8,1875,1996,1020,1,2,0,0.0,94000
216,10773,4,3,1967,1967,1832,2,4,0,0.0,136000
217,10778,4,5,1968,1968,1768,2,4,0,0.0,136500
218,11625,5,4,1965,1965,1039,1,3,0,2.0,131500
219,11341,5,6,1957,1996,1392,1,3,1,2.0,121500
220,8521,5,5,1967,1967,912,1,3,1,1.0,125000
221,8246,5,8,1968,2001,1060,1,3,1,1.0,154000
222,7800,5,7,1966,2008,892,1,3,0,1.0,137900
223,9364,6,7,1969,1969,1352,1,4,0,1.0,158000
224,7832,5,5,1968,1968,864,1,2,0,1.0,137250
225,7424,5,5,1978,1978,1373,1,3,2,2.0,160250
226,11227,5,5,1968,1968,1440,1,4,2,2.0,163000
227,11616,6,5,1978,1978,1386,2,3,1,2.0,158900
228,14000,7,5,1996,1997,2260,2,3,0,2.0,328000
229,20062,7,7,1977,2001,1483,1,1,2,2.0,270000
230,9259,4,4,1927,1950,756,1,2,0,2.0,85000
231,9600,4,7,1950,1995,1067,2,2,0,2.0,128000
232,23595,7,6,1979,1979,1524,0,0,1,2.0,260000
233,17082,6,5,1978,1992,1981,2,4,1,2.0,230000
234,18600,3,4,1938,1990,1610,2,4,1,1.0,124000
235,10625,5,5,1920,1950,835,1,2,0,1.0,83000
236,11479,6,7,1950,1987,1074,1,3,1,1.0,144500
237,9571,5,6,1956,1956,1144,1,3,0,1.0,129000
238,9350,4,6,1947,1979,1531,1,3,1,1.0,127000
239,9525,5,7,1954,1998,1172,1,3,0,1.0,128000
240,10420,6,5,2009,2009,1212,2,3,0,2.0,186000
241,17485,7,5,2009,2010,1508,1,1,2,2.0,308030
242,11200,5,3,1964,1964,1298,2,3,0,2.0,114000
243,11100,4,7,1946,2006,930,1,2,0,1.0,84900
244,9206,6,5,1985,1985,1732,2,3,1,2.0,178000
245,11980,7,5,1987,1987,1433,1,1,2,2.0,270000
246,12361,6,7,1993,1993,1802,2,3,1,4.0,218000
247,9938,7,5,1993,1994,1949,2,3,1,2.0,236000
248,9069,6,6,1992,1992,996,1,2,0,2.0,147000
249,10475,8,5,2008,2008,1694,2,3,0,3.0,245350
250,6762,7,5,2006,2006,1208,2,2,0,2.0,206000
251,10402,7,5,2009,2009,1226,2,3,0,3.0,198900
252,7360,7,5,2010,2010,1222,2,2,0,2.0,187000
253,12376,7,5,1990,1990,3222,3,5,2,3.0,320000
254,14235,6,8,1900,1993,1445,2,3,0,2.0,138500
255,8816,6,7,1971,1971,1052,1,3,0,2.0,155000
256,11105,5,5,1996,1996,965,1,2,0,2.0,159000
257,9337,7,5,1997,1998,1692,2,3,1,2.0,191000
258,8750,6,5,1998,1998,1682,2,3,0,2.0,200500
259,15240,5,8,1977,2004,1026,1,3,0,1.0,150000
260,10900,6,7,1977,1977,1392,1,3,0,1.0,161750
261,10650,5,6,1976,1976,894,1,3,0,1.0,128200
262,7480,5,6,1972,1972,876,1,3,0,2.0,127000
263,10389,8,5,2003,2003,1978,2,3,1,3.0,318000
264,11423,8,5,2001,2002,1601,2,3,1,2.0,272000
265,9548,7,6,2003,2003,1829,2,3,1,2.0,237000
266,9375,7,5,1997,1997,2098,2,4,1,2.0,240000
267,12137,7,5,1998,1998,1661,2,3,0,2.0,224900
268,4435,6,5,2003,2003,848,1,1,0,2.0,143750
269,4426,6,5,2004,2004,848,1,1,0,2.0,143000
270,10635,8,5,2003,2003,1668,2,3,1,2.0,232000
271,8400,7,5,2004,2005,1484,2,3,0,2.0,213000
272,8773,7,5,2004,2004,1414,2,3,0,2.0,185500
273,8777,3,6,1945,2007,640,1,2,0,1.0,84900
274,8842,5,6,1954,1954,992,1,3,0,1.0,155891
275,9825,5,5,1965,1965,1664,2,4,0,0.0,100000
276,10044,5,6,1968,1968,1196,1,3,0,1.0,144000
277,11792,4,5,1948,1950,1120,1,2,0,2.0,64000
278,6305,6,6,1975,1975,1096,1,3,1,1.0,125200
279,7819,6,5,1976,1976,1117,1,3,1,2.0,107000
280,6410,4,5,1958,1958,960,1,3,0,0.0,90000
281,8546,4,5,2003,2004,1121,2,2,0,2.0,140000
282,8741,6,4,1945,1950,1487,1,3,1,1.0,113000
283,12180,4,4,1941,1950,924,1,2,0,1.0,80000
284,8562,5,6,1957,2002,1526,1,4,1,1.0,144500
285,4853,5,6,1924,1999,1296,2,2,1,1.0,104000
286,6858,6,4,1915,1950,1647,1,4,0,1.0,128000
287,8212,3,3,1914,1950,864,1,2,0,1.0,58500
288,5000,5,6,1924,1950,1691,2,3,1,1.0,127000
289,7890,6,6,1939,1950,856,1,2,1,2.0,126000
290,7200,4,6,1967,1967,2650,3,6,0,0.0,160000
291,9839,5,2,1931,1950,1666,1,3,1,0.0,100000
292,9638,6,7,1919,1990,2447,2,4,1,1.0,169000
293,10452,7,6,1941,1985,2133,1,4,2,1.0,257500
294,15600,5,6,1950,1991,2177,2,5,0,2.0,215000
295,9042,7,9,1941,2006,2340,2,4,2,1.0,266500
296,17500,7,8,1959,2002,1902,2,3,2,2.0,335000
297,19645,7,6,1994,2007,1652,2,3,0,2.0,203135
298,3907,8,6,1989,1989,1034,1,1,1,2.0,185000
299,3907,8,5,1989,1989,1191,2,2,1,2.0,162500
300,15602,7,8,1959,1997,1801,2,1,2,2.0,289000
301,5436,4,8,1922,2007,1154,1,3,0,1.0,125500
302,8154,2,5,1941,1950,540,1,1,0,1.0,82000
303,9140,6,5,1921,1975,1107,1,2,0,1.0,110000
304,7500,4,4,1920,1950,1128,1,2,0,2.0,68400
305,8712,4,7,1900,1950,1178,1,2,0,1.0,102776
306,8712,5,5,1952,1952,1044,1,2,0,2.0,55993
307,8712,4,7,1896,1950,952,1,3,0,1.0,50138
308,3811,8,5,2004,2005,1646,2,2,1,2.0,246000
309,11050,8,5,1998,1999,1916,2,3,1,3.0,254900
310,9620,6,7,1977,1977,1285,2,3,1,2.0,190000
311,9196,7,5,2003,2003,1560,2,3,0,2.0,201000
312,12328,6,5,1976,1976,1034,1,3,0,3.0,169900
313,12760,6,5,1976,1976,2048,3,5,0,2.0,170000
314,57200,5,5,1948,1950,1687,1,3,2,2.0,160000
315,11896,7,5,2008,2008,1346,2,3,1,3.0,220000
316,9803,7,5,2009,2010,1214,2,2,0,2.0,179781
317,9802,5,5,2006,2007,1444,2,3,0,2.0,174000
318,12003,8,5,2009,2010,1968,2,4,1,3.0,269500
319,11316,7,5,2002,2003,1894,2,4,1,2.0,214900
320,14191,8,5,2002,2002,1908,2,4,0,2.0,202900
321,13214,9,5,2008,2009,2018,2,3,1,3.0,378500
322,15300,5,5,1965,1977,1264,1,2,1,2.0,169000
323,10114,5,5,2004,2005,1430,2,3,0,2.0,173500
324,9400,6,5,1971,1971,1824,2,4,0,0.0,139000
325,11875,5,5,1999,1999,1344,2,3,1,2.0,166500
326,1974,4,5,1973,1973,1092,1,3,0,1.0,83500
327,2394,5,6,1973,1973,945,1,2,1,1.0,119500
328,2592,5,3,1976,1976,1112,1,3,0,1.0,85000
329,1476,4,7,1970,1970,1092,1,3,0,0.0,76000
330,1491,4,6,1972,1972,630,1,1,0,0.0,75500
331,1900,4,4,1970,1970,1092,1,3,0,0.0,88250
332,1890,4,6,1972,1972,1092,1,3,0,1.0,85500
333,6953,5,7,1971,2004,874,1,3,0,1.0,130000
334,26142,5,7,1962,1962,1188,1,3,0,1.0,157900
335,12887,5,7,1984,1984,833,1,2,0,2.0,149900
336,7700,5,2,1985,1986,2432,4,4,0,2.0,159000
337,10475,5,5,1991,1991,1274,1,3,0,2.0,136000
338,10544,5,5,1969,1969,1479,2,5,0,1.0,161000
339,9892,8,5,1994,1995,1803,2,3,2,2.0,285000
340,12961,6,5,1993,1994,1797,2,3,1,2.0,231000
341,13008,6,5,1956,1956,882,1,2,0,1.0,124500
342,10200,6,5,1974,1974,1434,2,4,1,2.0,157000
343,13860,8,7,1972,1995,2704,2,4,3,2.0,345000
344,10179,6,5,1997,1997,1608,2,3,1,2.0,189500
345,11792,8,5,2003,2003,2283,2,4,1,3.0,270000
346,8400,7,5,1996,1997,1628,2,3,1,2.0,189000
347,14892,9,5,2006,2007,1746,2,3,2,3.0,377500
348,8530,7,5,1995,1996,1474,2,3,1,2.0,168500
349,7296,8,5,2004,2005,2522,2,1,1,2.0,375000
350,5664,8,5,2000,2000,1659,2,2,1,2.0,278000
351,7380,8,5,1998,1998,1478,2,2,0,2.0,240000
352,8013,8,5,1995,1996,1734,2,2,0,2.0,239500
353,8923,7,5,1998,1998,1382,2,3,1,2.0,177500
354,10141,7,5,1998,1998,1718,2,3,1,2.0,185000
355,7500,6,5,1998,1999,1636,2,3,1,2.0,191000
356,7837,6,7,1993,1994,1571,2,3,1,2.0,178000
357,9765,6,8,1993,1993,1470,2,3,1,2.0,185000
358,8803,6,5,1994,1995,1516,2,3,1,2.0,181316
359,7250,6,5,1993,1993,1190,2,3,1,2.0,166000
360,9636,6,5,1992,1993,1593,2,3,1,2.0,178000
361,8125,6,5,1994,1995,1481,2,3,1,2.0,174000
362,9248,6,6,1992,1992,1167,2,3,0,2.0,173000
363,10762,7,5,1999,1999,1983,2,3,1,2.0,225000
364,11851,7,5,1990,1990,1442,2,3,0,2.0,180500
365,5814,8,5,1984,1984,1360,1,1,1,2.0,187500
366,17423,9,5,2008,2009,2234,2,1,1,3.0,501837
367,11844,8,5,2008,2008,2046,2,3,1,3.0,372500
368,16158,7,5,2005,2005,1530,2,3,1,2.0,260000
369,11900,5,6,1977,1977,1934,2,3,1,2.0,185000
370,13005,7,7,1980,1980,2353,2,4,1,2.0,260000
371,17043,6,5,1979,1998,1586,2,3,1,2.0,181000
372,11900,7,5,1977,1977,1411,2,3,1,2.0,82500
373,16635,6,7,1977,2000,1602,2,3,1,2.0,215000
374,13250,7,6,1978,1978,2050,2,4,1,2.0,154000
375,10928,6,6,1978,1986,1671,2,3,1,2.0,200000
376,12388,7,7,1980,1991,2673,2,4,1,2.0,249000
377,14115,7,5,1980,1980,1472,2,3,2,2.0,187500
378,11088,6,5,1978,1998,1707,2,3,1,2.0,184000
379,9600,8,5,1981,1981,2524,2,4,1,2.0,278000
380,11880,7,5,1978,1978,1601,2,3,1,2.0,157000
381,10400,7,5,1976,1976,1370,2,3,1,2.0,152000
382,10304,5,7,1976,1976,1868,2,4,1,2.0,197500
383,7000,7,5,2003,2003,1884,2,3,1,2.0,240900
384,8004,8,5,2009,2009,1935,2,3,0,2.0,263435
385,7500,8,5,2000,2001,1874,2,3,1,2.0,220000
386,8470,8,5,2002,2002,1811,2,3,1,2.0,235000
387,9373,5,7,1975,1975,1621,2,3,2,2.0,213000
388,10140,6,6,1974,1974,1116,2,3,1,2.0,167900
389,11050,7,5,1975,1975,1193,2,3,1,2.0,158000
390,10140,6,5,1974,1974,1350,2,3,1,2.0,165000
391,10448,6,6,1972,1972,2119,2,3,1,2.0,158000
392,9000,5,5,1974,1974,1792,2,4,0,0.0,136000
393,8750,5,6,1970,1970,1002,1,3,0,2.0,148500
394,7930,6,8,1969,2005,1026,1,3,0,2.0,156000
395,7830,5,5,1970,1970,1180,1,2,0,2.0,128000
396,8510,5,7,1971,1971,1050,1,3,0,1.0,143000
397,7038,4,6,1970,1970,864,1,3,0,2.0,76500
398,6960,4,6,1970,1970,864,1,3,0,2.0,120500
399,8120,4,7,1970,1970,864,1,3,0,2.0,124500
400,10500,4,6,1971,1971,864,1,2,0,2.0,97000
401,9000,4,7,1971,2006,864,1,3,0,2.0,130000
402,1680,6,5,1973,1973,987,1,2,0,1.0,111000
403,2368,5,6,1970,1970,1365,1,3,0,2.0,125000
404,1680,5,5,1971,1971,1302,2,3,0,1.0,112000
405,1680,6,6,1972,1972,987,1,2,0,1.0,97000
406,1680,6,8,1972,2007,987,1,2,0,1.0,118000
407,1680,5,7,1972,1972,1302,2,3,0,1.0,119500
408,4928,6,6,1976,1976,958,2,2,0,2.0,143750
409,2308,6,5,1976,1976,1548,2,3,1,2.0,146000
410,2280,6,6,1976,1976,1456,2,3,1,2.0,148500
411,2280,7,5,1975,1975,1055,2,2,1,2.0,123000
412,2308,6,5,1974,1974,1322,2,3,1,2.0,147000
413,2349,6,5,1977,1977,1456,2,3,1,2.0,137900
414,2364,6,5,1978,1978,1548,2,3,1,2.0,147000
415,2289,6,6,1978,1978,1441,2,3,1,2.0,148500
416,2364,6,5,1978,1978,1456,2,3,1,2.0,138000
417,2104,7,6,1976,1976,836,1,2,0,1.0,128500
418,7150,5,5,1967,1967,892,1,3,0,1.0,100000
419,10710,5,7,1966,2004,1120,1,3,1,2.0,148800
420,12456,10,5,2006,2007,1718,2,3,1,3.0,337500
421,14257,9,5,2007,2007,2772,3,4,3,3.0,462000
422,13518,9,5,2008,2009,3140,3,4,2,3.0,485000
423,15431,10,5,2008,2008,2402,2,2,2,3.0,555000
424,13173,9,5,2006,2007,1652,2,2,2,2.0,325000
425,14230,8,5,2007,2007,1600,2,3,1,3.0,256300
426,12704,8,5,2008,2009,2042,2,3,1,3.0,253293
427,12350,9,5,2009,2009,2690,2,3,1,3.0,398800
428,11308,9,5,2008,2008,2184,2,3,1,3.0,335000
429,12350,9,5,2008,2008,2020,2,3,1,3.0,404000
430,12220,10,5,2009,2009,2020,2,3,1,3.0,402861
431,13478,10,5,2008,2008,2296,2,3,1,3.0,451950
432,13693,10,5,2007,2007,2674,2,2,2,3.0,610000
433,13891,9,5,2008,2009,2822,3,4,1,3.0,582933
434,11578,9,5,2008,2008,1736,2,3,1,3.0,360000
435,16870,8,5,2004,2005,1782,2,3,2,3.0,296000
436,23303,8,5,2007,2007,2520,2,5,1,3.0,409900
437,11146,8,5,2006,2006,1717,2,3,1,3.0,255500
438,10367,9,5,2008,2008,1743,2,3,1,3.0,335000
439,9591,8,5,2004,2005,1713,2,3,1,3.0,274900
440,10872,9,5,2006,2006,1531,2,2,1,3.0,300000
441,13514,9,5,2008,2008,1808,2,3,1,3.0,324000
442,8834,9,5,2004,2005,2224,2,4,1,3.0,350000
443,11362,8,5,2004,2005,1836,2,3,1,3.0,280000
444,10655,8,5,2003,2004,1629,2,3,1,3.0,284000
445,12878,7,5,2003,2004,1760,2,3,1,2.0,269500
446,9541,7,5,2009,2009,1502,2,3,0,2.0,233170
447,13472,10,5,2003,2003,2392,2,3,1,3.0,386250
